event_time,product_id,user_session
1609308935,575199,Qd416JRPcE
1608031124,465636,l2ZE8vje63
1604635543,252058,eGPPon4K8S
1610829877,137302,g3IQC7OQIv
1605674934,31489,AdPP6bn2nv
1606810823,872337,L0jgEK0qpi
1613312507,421025,GvL1ufsQxb
1613754932,855169,l9NNeHyBfK
1601213792,387956,a05dfa0e-f13e-47d8-9b4f-db3ec130a57f
1605966848,335781,qqUYDL6zUa
1601790141,229036,UTb9Yt2ad1
1611901525,539060,lM8dOJMmRE
1610920730,320222,uhofcmq9fr
1602480174,668556,8ZZuOrPGfN
1603532092,741031,wjbOBv6g14
1608402071,139293,Sw1fDB912C
1602518350,139764,UoYVjzk2jQ
1603078548,610016,eO0BM8xq7C
1606756160,335781,P9QTlcdlHF
1613195241,402214,7l5TL7hecA
1609069126,139764,4XmDLbV5od
1604955463,696783,glPttMAGlT
1604688881,678860,wuH1E4BbW1
1608194335,4279,E0iZDpSXKf
1602033123,456148,eMTxCmJA8f
1604151387,877878,4Ahn5jwBw7
1602841683,265185,AHTuWeA6ca
1607012032,31899,luWlZLt294
1606283726,685609,CRT5kL2Uep
1605268927,246841,i628ZyIEd8
1605852097,471387,4EiJkski9H
1609601677,809948,Vwg61AXpRu
1603606091,495121,5eYHrt8t8v
1614435833,228978,oNWroAembm
1612347720,875267,IzFlvcFsln
1611067040,215496,JdDg9AZ7zh
1613991259,607161,ajWmVVmNG7
1606673713,788861,SFIuoTk8eH
1611495104,876509,nszV2WzT4k
1605148575,649110,6acdbbbfzt
1610999096,595752,ue9Pff0sNY
1604335171,39948,WUcFItukFZ
1606049342,2260,QcKdDImxtK
1606456082,743079,HflDslvEXF
1605716196,137302,mp4hgMrARl
1602495777,180229,nZGHXsRrCX
1610701790,611824,VNK68Ahb2I
1609721500,690060,YrivF6kE8c
1612330451,261923,bisw2IegwQ
1611992582,387956,0xOW4wTXWJ
1606501842,695598,SWZnWcSZKu
1613944006,77535,NL8vYZRCyh
1607709787,856884,iWi8b4N6OD
1611030627,883911,DKdQEDfwON
1603679774,817825,542eebb8-34a9-4ecb-bba0-749e4bed0477
1610891917,842240,RJlVFJ1W8X
1601346720,546589,5db45FXdtb
1605781802,842328,fDU60F9KhR
1612759998,37774,nFlhu5QzOd
1611554221,366264,oi9xXT2Sqi
1607081285,877878,XHleI0l4N8
1613859300,456526,zXvQSYonLO
1610031734,652020,faxGttl9De
1603272790,657359,ZYorkqWnIL
1614267313,606484,h2TOP9rkde
1611986207,335781,pVRIWtrrXW
1606544345,798445,N8MeCbtnRh
1606047367,396333,XPv4bFzcKb
